Date_value,Day_quarter,in_ACCIDENT AND EMERGENCY,in_CARDIOLOGY,in_COVID,in_DERMATOLOGY,in_GASTROENTEROLOGY,in_GENERAL MEDICINE,in_GENERAL SURGERY,in_GERIATRIC MEDICINE,in_GYNAECOLOGY,in_HAEMATOLOGY (CLINICAL),in_ONCOLOGY,in_OPHTHALMOLOGY,in_OTHER,in_PALLIATIVE MEDICINE,in_REHABILITATION,in_THORACIC MEDICINE,in_TRAUMA AND ORTHOPAEDICS,in_UROLOGY,in_total,out_ACCIDENT AND EMERGENCY,out_CARDIOLOGY,out_COVID,out_DERMATOLOGY,out_GASTROENTEROLOGY,out_GENERAL MEDICINE,out_GENERAL SURGERY,out_GERIATRIC MEDICINE,out_GYNAECOLOGY,out_HAEMATOLOGY (CLINICAL),out_ONCOLOGY,out_OPHTHALMOLOGY,out_OTHER,out_PALLIATIVE MEDICINE,out_REHABILITATION,out_THORACIC MEDICINE,out_TRAUMA AND ORTHOPAEDICS,out_UROLOGY,out_total,D_O_W,W_O_M,MONTH,daily_total,total,daily_GENERAL SURGERY,GENERAL SURGERY,daily_GERIATRIC MEDICINE,GERIATRIC MEDICINE,daily_THORACIC MEDICINE,THORACIC MEDICINE,daily_ACCIDENT AND EMERGENCY,ACCIDENT AND EMERGENCY,daily_UROLOGY,UROLOGY,daily_GENERAL MEDICINE,GENERAL MEDICINE,daily_OTHER,OTHER,daily_CARDIOLOGY,CARDIOLOGY,daily_OPHTHALMOLOGY,OPHTHALMOLOGY,daily_GYNAECOLOGY,GYNAECOLOGY,daily_DERMATOLOGY,DERMATOLOGY,daily_GASTROENTEROLOGY,GASTROENTEROLOGY,daily_REHABILITATION,REHABILITATION,daily_ONCOLOGY,ONCOLOGY,daily_COVID,COVID,daily_HAEMATOLOGY (CLINICAL),HAEMATOLOGY (CLINICAL),daily_TRAUMA AND ORTHOPAEDICS,TRAUMA AND ORTHOPAEDICS,daily_PALLIATIVE MEDICINE,PALLIATIVE MEDICINE,new_date
01/01/2015,12PM-6AM,4,0,0,0,0,2,1,3,0,0,0,0,0,0,0,2,0,2,14,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,Thursday,1,Jan,12,12,1,1,3,3,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/2015 00:00
01/01/2015,6AM-12AM,4,2,0,0,0,3,1,1,0,0,0,0,2,0,0,0,0,0,13,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-5,Thursday,1,Jan,8,20,1,2,1,4,0,2,0,2,-1,1,3,5,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/2015 06:00
01/01/2015,12AM-6PM,2,7,0,0,0,10,3,0,0,1,0,1,0,0,0,1,0,2,27,-1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,-3,Thursday,1,Jan,24,44,1,3,0,4,1,3,1,3,2,3,10,15,0,2,7,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,01/01/2015 12:00
01/01/2015,6PM-12PM,2,2,0,0,0,5,2,2,0,1,0,0,2,0,0,3,0,1,20,-3,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-5,Thursday,1,Jan,15,59,2,5,2,6,3,6,-1,2,1,4,4,19,1,3,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,01/01/2015 18:00
02/01/2015,12PM-6AM,2,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,9,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-3,Friday,1,Jan,6,65,3,8,0,6,-1,5,0,2,0,4,4,23,0,3,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,02/01/2015 00:00
02/01/2015,6AM-12AM,1,4,0,0,0,11,5,0,1,0,0,0,2,1,0,2,0,1,28,-1,0,0,0,0,-2,-2,0,0,0,0,0,-2,0,0,0,0,-1,-8,Friday,1,Jan,20,85,3,11,0,6,2,7,0,2,0,4,9,32,0,3,4,15,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,02/01/2015 06:00
02/01/2015,12AM-6PM,7,1,0,0,0,9,4,1,0,0,0,0,2,3,1,3,0,2,33,-3,-3,0,0,0,-4,-1,-2,-1,0,0,0,0,0,0,0,0,-3,-17,Friday,1,Jan,16,101,3,14,-1,5,3,10,4,6,-1,3,5,37,2,5,-2,13,0,1,-1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,3,4,02/01/2015 12:00
02/01/2015,6PM-12PM,3,2,0,0,1,17,4,3,0,1,0,0,0,1,0,0,0,1,33,-5,0,0,0,0,-4,-2,0,0,0,0,0,-1,0,0,-1,0,0,-13,Friday,1,Jan,20,121,2,16,3,8,-1,9,-2,4,1,4,13,50,-1,4,2,15,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,3,0,0,1,5,02/01/2015 18:00
03/01/2015,12PM-6AM,1,1,0,0,0,4,1,2,0,0,0,0,1,0,1,0,0,0,11,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-2,Saturday,1,Jan,9,130,1,17,2,10,0,9,0,4,0,4,3,53,1,5,1,16,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,3,0,0,0,5,03/01/2015 00:00
03/01/2015,6AM-12AM,4,0,0,0,0,3,5,1,0,0,0,0,0,0,1,0,0,0,14,-4,0,0,0,0,-4,0,0,0,0,0,0,-1,0,0,0,0,0,-9,Saturday,1,Jan,5,135,5,22,1,11,0,9,0,4,0,4,-1,52,-1,4,0,16,0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,3,0,0,0,5,03/01/2015 06:00
